text,author
Wake up with determination. Go to bed with satisfaction.,Unknown
Little things make big days.,Unknown
"It’s going to be hard, but hard does not mean impossible.",Unknown
Don’t wait for opportunity. Create it.,George Bernard Shaw
Sometimes later becomes never. Do it now.,Unknown
"If you can’t yet do great things, do small things in a great way.",Napoleon Hill
"The secret of change is to focus all of your energy not on fighting the old, but on building the new.",Socrates
"You don’t have to be great to start, but you have to start to be great.",Zig Ziglar
I never lose. I either win or learn.,Nelson Mandela
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino
"Perfection is not attainable, but if we chase perfection we can catch excellence.",Vince Lombardi
Either you run the day or the day runs you.,Jim Rohn
Action is the foundational key to all success.,Pablo Picasso
"If you’re going through hell, keep going.",Winston Churchill
Successful people do what unsuccessful people are not willing to do.,Jim Rohn
The best revenge is massive success.,Frank Sinatra
Focus on being productive instead of busy.,Tim Ferriss
Limit your ‘always’ and your ‘nevers.’,Amy Poehler
Turn your wounds into wisdom.,Oprah Winfrey
"Without hustle, talent will only carry you so far.",Gary Vaynerchuk
"If you don’t like the road you’re walking, start paving another one.",Dolly Parton
"Once you choose hope, anything’s possible.",Christopher Reeve
"If you’re offered a seat on a rocket ship, don’t ask what seat. Just get on.",Sheryl Sandberg
"Success is liking yourself, liking what you do, and liking how you do it.",Maya Angelou
I can and I will. Watch me.,Carrie Green
Don’t be afraid to give up the good to go for the great.,John D. Rockefeller
What would you do if you weren’t afraid?,Sheryl Sandberg
"If people are doubting how far you can go, go so far that you can’t hear them anymore.",Michele Ruiz
Everything you want is on the far side of fear.,Jack Canfield
A goal is a dream with a deadline.,Napoleon Hill
"Success is nothing more than a few simple disciplines, practiced every day.",Jim Rohn
Motivation gets you going and habit gets you there.,Zig Ziglar
Do something today that your future self will thank you for.,Sean Patrick Flanery
The expert in anything was once a beginner.,Helen Hayes
There is no substitute for hard work.,Thomas Edison
Small progress is still progress.,Unknown
"Stay hungry, stay foolish.",Steve Jobs
Great things are done by a series of small things brought together.,Vincent van Gogh
Your passion is waiting for your courage to catch up.,Isabelle Lafleche
One day or day one. You decide.,Unknown
"If you cannot do great things, do small things in a great way.",Napoleon Hill
The future depends on what you do today.,Mahatma Gandhi
The only way to achieve the impossible is to believe it is possible.,Charles Kingsleigh
"Success is not in what you have, but who you are.",Bo Bennett
The distance between dreams and reality is called action.,Unknown
"Work hard in silence, let success make the noise.",Frank Ocean
"If you want to fly, give up everything that weighs you down.",Buddha
Focus on your goal. Don’t look in any direction but ahead.,Unknown
The pain you feel today will be the strength you feel tomorrow.,Unknown
"If you don’t risk anything, you risk even more.",Erica Jong
Keep going. Be all in.,Bryan Hutchinson
Success is getting what you want; happiness is wanting what you get.,W.P. Kinsella
Success is achieved and maintained by those who try and keep trying.,W. Clement Stone
"Courage is resistance to fear, mastery of fear—not absence of it.",Mark Twain
Success is the progressive realization of a worthy goal or ideal.,Earl Nightingale
The only thing standing between you and your goal is the story you keep telling yourself.,Jordan Belfort
"If you really want to do something, you'll find a way. If you don't, you'll find an excuse.",Jim Rohn
Work like there is someone working twenty-four hours a day to take it away from you.,Mark Cuban
"Do not be embarrassed by your failures, learn from them and start again.",Richard Branson
The difference between who you are and who you want to be is what you do.,Unknown
Opportunities multiply as they are seized.,Sun Tzu
Don’t limit your challenges. Challenge your limits.,Unknown
"The trouble is, you think you have time.",Jack Kornfield
Be so good they can’t ignore you.,Steve Martin
Great works are performed not by strength but by perseverance.,Samuel Johnson
What we fear of doing most is usually what we most need to do.,Ralph Waldo Emerson
Success is the sum of details.,Harvey S. Firestone
Action may not always bring happiness; but there is no happiness without action.,Benjamin Disraeli
"Inspiration exists, but it has to find you working.",Pablo Picasso
Success seems to be connected with action. Successful people keep moving.,Conrad Hilton
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell
The way to get started is to begin now.,Unknown
"If not now, when?",Hillel the Elder
